CustomerID,Total_Bill_Size,First_Purchase,Last_Purchase,Most_Common_Location,Top_Item,Purchase_Interval_Days,Total_Bill_Scaled,Purchase_Interval_Scaled,Cluster,Recency,Frequency,Monetary,Recency_Scaled,Frequency_Scaled,Monetary_Scaled,GMM_Cluster
12346.0,0.0,2011-01-18 10:01:00,2011-01-18 10:17:00,United Kingdom,23166,0,-0.23100098872223704,-1.0041827151803722,0,326,2,0.0,2.32202284596252,-0.329362146223227,-0.23100098872223704,0
12347.0,4310.0,2010-12-07 14:57:00,2011-12-07 15:52:00,Iceland,22375,365,0.2934316661932754,1.7436848505440212,1,2,7,4310.0,-0.8937332316580672,0.20610241695093204,0.2934316661932754,2
12348.0,1797.24,2010-12-16 19:09:00,2011-09-25 13:13:00,Finland,POST,282,-0.01231622196577404,1.118827294502584,1,75,4,1797.24,-0.16919559688552746,-0.11517632095356338,-0.01231622196577404,2
12349.0,1757.55,2011-11-21 09:51:00,2011-11-21 09:51:00,Italy,23112,0,-0.01714562615918395,-1.0041827151803722,0,19,1,1757.55,-0.7250052893137771,-0.4364550588580588,-0.01714562615918395,2
12350.0,334.4,2011-02-02 16:01:00,2011-02-02 16:01:00,Norway,21908,0,-0.19031182867496388,-1.0041827151803722,0,310,1,334.4,2.1632200766973058,-0.4364550588580588,-0.19031182867496388,0
12352.0,1545.41,2011-02-16 12:33:00,2011-11-03 14:37:00,Norway,M,260,-0.0429584204547238,0.9532024001301546,1,36,11,1545.41,-0.556277346969487,0.6344740674902593,-0.0429584204547238,2
12353.0,89.0,2011-05-19 17:47:00,2011-05-19 17:47:00,Bahrain,37449,0,-0.22017163691539698,-1.0041827151803722,0,204,1,89.0,1.1111517303152618,-0.4364550588580588,-0.22017163691539698,0
12354.0,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,Spain,23201,0,-0.09966163658399942,-1.0041827151803722,0,232,1,1079.4,1.3890565765293867,-0.4364550588580588,-0.09966163658399942,0
12355.0,459.4,2011-05-09 13:49:00,2011-05-09 13:49:00,Bahrain,22693,0,-0.17510206490131214,-1.0041827151803722,0,214,1,459.4,1.2104034611060206,-0.4364550588580588,-0.17510206490131214,0
12356.0,2811.43,2011-01-18 09:50:00,2011-11-17 08:40:00,Portugal,22423,302,0.1110885006070249,1.2693953802957012,1,23,3,2811.43,-0.6853045969974735,-0.2222692335883952,0.1110885006070249,2
12357.0,6207.67,2011-11-06 16:07:00,2011-11-06 16:07:00,Switzerland,22064,0,0.5243365655560411,-1.0041827151803722,0,33,1,6207.67,-0.5860528662067147,-0.4364550588580588,0.5243365655560411,2
